Model,MAE,RMSE,R2 Score
Ridge Regression,0.5341903280104231,1.1731947408120622,0.9957845371358253
Linear Regression,0.5272712385522642,1.1779383014232527,0.9957503795858809
Extra Trees,0.35721251891980854,1.305874018216632,0.9947771492525795
Random Forest,0.3483770942087973,1.366717420384097,0.9942791242847293
KNN Regressor,0.6051268890144363,2.0239401025540795,0.987454142102576
Decision Tree,0.546442150571814,2.1448332566622668,0.9859106122046187
Gradient Boosting,0.5067382983461107,2.2313165197827263,0.9847514898059282
SVR,2.9518593633280066,13.714411061365317,0.42395106548948946
